date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:48	47795/47795	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2016:02:32%20GMT	https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/hairlossd12e.html	(from )
21:32:50	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Mar%202021%2017:17:15%20GMT	https://hairregrowth.ayushmd.com/robots.txt		(from )
21:32:51	21984/21984	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Dec%202019%2020:09:08%20GMT	https://hairregrowth.ayushmd.com/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/font-awesome/css/font-awesome.min.css	(from https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB)
21:32:53	1947/1947	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Jul%202020%2023:16:36%20GMT	https://hairregrowth.ayushmd.com/color/default.css	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/color/default.css	(from https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB)
21:32:53	2968/2968	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Dec%202019%2022:38:08%20GMT	https://hairregrowth.ayushmd.com/favicon.png	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/favicon.png	(from https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB)
21:32:54	114011/114011	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Dec%202019%2020:09:08%20GMT	https://hairregrowth.ayushmd.com/css/bootstrap.min.css	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/css/bootstrap.min.css	(from https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB)
21:32:54	55349/55349	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2011:16:50%20GMT	https://hairregrowth.ayushmd.com/css/style.css	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/css/style.css	(from https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB)
21:32:54	23750/23750	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Dec%202019%2017:19:16%20GMT	https://hairregrowth.ayushmd.com/img/positive-result.png	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/img/positive-result.png	(from https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB)
21:32:57	7421/7421	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Aug%202020%2015:04:56%20GMT	https://hairregrowth.ayushmd.com/img/logo.png	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/img/logo.png	(from https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB)
21:32:57	49070/49070	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2016:02:40%20GMT	https://hairregrowth.ayushmd.com/index.php	C:/My%20Web%20Sites/my%20fist%20project/hairregrowth.ayushmd.com/index.html	(from https://hairregrowth.ayushmd.com/hairloss.php?gclid=Cj0KCQjwo-aCBhC-ARIsAAkNQitNjLJpAgYrmOl0rUgDjbm-LvCZnWIU63LBTliNu0Lt7C6xwQh3SjgaAtDcEALw_wcB)
